epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,5175.07,0.90354,0.42047,0.93304,0.91465,0.90194,0.93348,0.59653,1.18633,0.50777,1.13097,0.0069112,0.0069112,0.0069112
80,5239.48,0.9039,0.42113,0.9312,0.90757,0.9121,0.93492,0.60201,1.18048,0.50175,1.12205,0.0068716,0.0068716,0.0068716
81,5302.88,0.897,0.41809,0.92682,0.9177,0.91525,0.93509,0.60264,1.18247,0.50356,1.12102,0.006832,0.006832,0.006832
82,5366.46,0.88845,0.41414,0.92735,0.90899,0.90257,0.93319,0.59697,1.18346,0.50519,1.12465,0.0067924,0.0067924,0.0067924
83,5430.62,0.88482,0.41228,0.92306,0.91571,0.90626,0.9343,0.60015,1.18579,0.50678,1.1262,0.0067528,0.0067528,0.0067528
84,5494.65,0.87962,0.41069,0.92276,0.91641,0.91408,0.93446,0.60188,1.19622,0.50663,1.13051,0.0067132,0.0067132,0.0067132
85,5558.55,0.87476,0.40833,0.92082,0.91488,0.90837,0.93528,0.59654,1.19193,0.50779,1.12906,0.0066736,0.0066736,0.0066736
86,5622.1,0.87196,0.41067,0.92136,0.89535,0.90099,0.92993,0.59859,1.18379,0.50777,1.12748,0.006634,0.006634,0.006634
87,5686.26,0.86995,0.40475,0.92089,0.90901,0.89846,0.93355,0.60177,1.18865,0.50675,1.1306,0.0065944,0.0065944,0.0065944
88,5749.97,0.86383,0.40567,0.91698,0.90517,0.91159,0.93442,0.59877,1.19358,0.50571,1.13222,0.0065548,0.0065548,0.0065548
89,5813.86,0.86133,0.40347,0.91858,0.90961,0.90054,0.92986,0.5971,1.1868,0.50543,1.12818,0.0065152,0.0065152,0.0065152
90,5877.79,0.8586,0.40207,0.91625,0.91007,0.90276,0.92885,0.59844,1.18808,0.50934,1.13094,0.0064756,0.0064756,0.0064756
91,5941.45,0.8508,0.40079,0.91372,0.91783,0.90201,0.92939,0.59916,1.19081,0.5038,1.1335,0.006436,0.006436,0.006436
92,6005.35,0.8473,0.39826,0.91253,0.91472,0.90554,0.92969,0.602,1.18334,0.50001,1.12963,0.0063964,0.0063964,0.0063964
93,6069.33,0.84258,0.39546,0.91177,0.91413,0.90862,0.9314,0.59728,1.1972,0.50246,1.13949,0.0063568,0.0063568,0.0063568
94,6132.77,0.84024,0.39583,0.90962,0.90802,0.90502,0.93058,0.5959,1.19609,0.50611,1.13855,0.0063172,0.0063172,0.0063172
95,6196.49,0.83481,0.39162,0.91194,0.90125,0.91091,0.929,0.59388,1.19449,0.50505,1.13935,0.0062776,0.0062776,0.0062776
